author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maxAgeLarvae,mechanistic model,years,NA,"larvae, juveniles",2,NA,NA,NA,NA,larvae include juveniles,,,ID43,parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,lethalShrinkage,mechanistic model,%bodyLength,NA,"larvae, juveniles, adults",50,NA,NA,NA,NA,"when individual loses more than 50% of its body length, it dies",,,"ID100, ID114",parameter,
"lehette, p; tovar-sanchez, a; duarte, cm; hernandez-leon, s",krill excretion and its effect on primary production,observation,days,summer,2005,AntarcticPeninsula,ammoniumExcretionRate,observation,nmol NH4 mg-1 h-1,117,"juveniles, adults",17.04,NA,NA,NA,NA,,,,-,-,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:Chla,observation,NA,8,larvae,NA,TRUE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID68, ID74",correlation,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:Dinoflagellates,observation,NA,8,larvae,NA,TRUE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID67, ID73",correlation,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:Ciliates,observation,NA,8,larvae,NA,TRUE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID67, ID73",correlation,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:Bacteria,observation,NA,8,larvae,NA,FALSE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID67, ID73",correlation,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:heterotrophicNanoplankton,observation,NA,8,larvae,NA,FALSE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID67, ID73",correlation,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:phototrophicNanoplankton,observation,NA,8,larvae,NA,FALSE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID68, ID74",correlation,
"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",observation,weeks,autumn,2001,BellinghausenSea,grazingFurcilia:Oithona,observation,NA,8,larvae,NA,TRUE,NA,NA,"build-up of body reserves, overwintering",significant grazing effect determined by ANOVA,,,"ID67, ID73",correlation,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,monounsaturated fatty acids of krill on day sample taken,measurement,% total fatty acids,1,larvae,20.7,,,,,,,,"ID42, ID66","parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,monounsaturated fatty acids of krill after 5 days of starvation,measurement,% total fatty acids,1,larvae,20.6,,,,,,,,"ID42, ID66, ID100","parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,poly unsaturated fatty acids of krill on day sample taken,measurement,% total fatty acids,1,larvae,53.4,,,,,,,,"ID42, ID66","parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,poly unsaturated fatty acids of krill after 5 days starvation,measurement,% total fatty acids,1,larvae,51.3,,,,,,,,"ID42, ID66, ID100","parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,saturated fatty acids of krill on day sample taken,measurement,% total fatty acids,1,larvae,26,,,,,,,,"ID42, ID66","parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,saturated fatty acids of krill 5 days after sample taken,measurement,% total fatty acids,1,larvae,28.1,,,,,,,,"ID42, ID66, ID100","parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,monounsaturated fatty acids of digestive gland,measurement,% total fatty acids,1,juvenile,34.6,,,,,,,,-,-,don't know what to relate to
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,monounsaturated fatty acids of stomach,measurement,% total fatty acids,1,juvenile,30.5,,,,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,poly unsaturated fatty acids of digestive gland,measurement,% total fatty acids,1,juvenile,30.9,,,,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,poly unsaturated fatty acids of stomach,measurement,% total fatty acids,1,juvenile,9.3,,,,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,saturated fatty acids of digestive gland,measurement,% total fatty acids,1,juvenile,34.5,,,,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,saturated fatty acids of stomach,measurement,% total fatty acids,1,juvenile,60.2,,,,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,mean growth increment,measurment,% per moult,50,juvenile,1,,,,,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,mean growth increment,measurement,% per moult,4,larvae,14.8,,,,,,,,ID43,parameter,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,digestive gland of krill below ice,measurement,% of carapace length,,adult,43.1,,,,,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,digestive gland of open ocean krill,measurement,% of carapace length,,adult,36.1,,,,,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass whole animal day 0,measurement,mg/sample,6,adult,252.8,,,58.7,,,,,ID114,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass digestive gland day 0,measurement,mg/sample,6,adult,21.2,,,17.8,,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass abdomen day 0,measurement,mg/sample,6,adult,124,,,40.7,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass stomach day 0,measurement,mg/sample,2,adult,0.4,,,,,,,,-,-,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass whole animal after 207 days starvation,measurement,mg/sample,8,adult,31.8,,,8.1,,,,,ID114,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass digestive gland 207 days after starvation,measurement,mg/sample,8,adult,2.2,,,1.5,,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass abdomen 207 days after starvation,measurement,mg/sample,8,adult,16.8,,,4,,,,,-,-,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,length,measurement,mm,14,larvae,11.4,NA,NA,1.6,Yes,,,,-,validation,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,length,measurement,mm,19,juvenile,25.1,NA,NA,7.8,Yes,,,,-,validation,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,length,measurement,mm,26,adult,42.7,NA,NA,8.3,Yes,,,,-,validation,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,dry mass,measurement,mg,14,larvae,2.5,NA,NA,3.1,Yes,,,,-,validation,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,dry mass,measurement,mg,19,juvenile,19,NA,NA,18,Yes,,,,-,validation,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,dry mass,measurement,mg,26,adult,108.9,NA,NA,81.8,Yes,,,,-,validation,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,fatty acid content,measurement,% dry mass,14,larvae,8.5,NA,NA,10.2,"build-up of body reserves, overwintering",,,,-,-,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,fatty acid content,measurement,% dry mass,19,juvenile,5.1,NA,NA,7,"build-up of body reserves, egg & larval development, overwintering",,,,-,-,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,fatty acid content,measurement,% dry mass,26,adult,7,NA,NA,3.5,"build-up of body reserves, overwintering",,,,ID99,"parameter, validation",
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,bulk nitrogen stable isotope composition,measurement,δ15N,20,larvae,3.5,NA,NA,0.7,"build-up of body reserves, egg & larval development, overwintering",,,,-,-,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,bulk nitrogen stable isotope composition,measurement,δ15N,19,juvenile,3.6,NA,NA,0.6,"build-up of body reserves, overwintering",,,,-,-,
Kohlbach et al. (2017),ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,hybrid,days,spring,2013,Weddell-Scotia Confluence Zone,bulk nitrogen stable isotope composition,measurement,δ15N,9,adult,4.4,NA,NA,0.8,"build-up of body reserves, overwintering",,,,-,-,
